program,buffer_size,nb_sends,total_sent,total_received,total_elapsed_time_us,total_msg_time_us,avg_msg_time_us
copy_loop,65536,500,32768000,32768000,744421,744421,1488
copy_loop,65536,1000,65536000,65536000,1483343,1483343,1483
copy_loop,65536,2500,163840000,163840000,3704290,3704290,1481
copy_loop,65536,5000,327680000,327680000,7392095,7392095,1478
copy_loop,65536,10000,655360000,655360000,14845592,14845592,1484
copy_loop,65536,25000,1638400000,1638400000,37092406,37092406,1483
copy_loop,65536,50000,3276800000,3276800000,74069685,74069685,1481
copy_loop_pipeline,65536,500,32768000,32768000,297436,7252858,14505
copy_loop_pipeline,65536,1000,65536000,65536000,593167,16140911,16140
copy_loop_pipeline,65536,2500,163840000,163840000,1531113,113114519,45245
copy_loop_pipeline,65536,5000,327680000,327680000,3129777,285371644,57074
copy_loop_pipeline,65536,10000,655360000,655360000,5985836,386925266,38692
copy_loop_pipeline,65536,25000,1638400000,1638400000,15639156,1740281080,69611
copy_loop_pipeline,65536,50000,3276800000,3276800000,29473322,1032454803,20649
