program,buffer_size,nb_sends,total_sent,total_elapsed_time_us,avg_send_us,min_send_us,max_send_us,total_notif,fallback_count
copy_simple,65536,500,32768000,287755,575,5,5806,0,0
zc_simple,65536,500,32768000,5965025,11930,3724,15659,63,0
copy_simple,65536,1000,65536000,582627,582,4,5860,0,0
zc_simple,65536,1000,65536000,11875302,11875,3575,17469,125,0
copy_simple,65536,2500,163840000,1482518,593,4,7018,0,0
zc_simple,65536,2500,163840000,31634013,12653,4215,19460,313,0
copy_simple,65536,5000,327680000,2966030,593,4,6260,0,0
zc_simple,65536,5000,327680000,63175437,12635,4150,16006,625,0
copy_simple,65536,10000,655360000,5948937,594,4,6942,0,0
zc_simple,65536,10000,655360000,124670453,12467,4082,19017,1250,0
