program,buffer_size,nb_sends,pool_size,total_sent,total_received,total_elapsed_time_us,total_msg_time_us,avg_msg_time_us,total_notif,fallback_count
zc_loop,65536,500,16,32768000,32768000,739755,739755,1479,500,0
zc_loop,65536,1000,16,65536000,65536000,1468154,1468154,1468,1000,0
zc_loop,65536,2500,16,163840000,163840000,3682453,3682453,1472,2500,0
zc_loop,65536,5000,16,327680000,327680000,7391043,7391043,1478,5000,0
zc_loop,65536,10000,16,655360000,655360000,14771609,14771609,1477,10000,0
zc_loop,65536,25000,16,1638400000,1638400000,37085661,37085661,1483,25000,0
zc_loop,65536,50000,16,3276800000,3276800000,74036419,74036419,1480,50000,0
zc_loop_pipeline,65536,500,16,32768000,32768000,359128,15983154,31966,65,0
zc_loop_pipeline,65536,1000,16,65536000,65536000,680381,32759500,32759,129,0
zc_loop_pipeline,65536,2500,16,163840000,163840000,1608409,82716891,33086,316,0
zc_loop_pipeline,65536,5000,16,327680000,327680000,3310498,167547060,33509,628,0
zc_loop_pipeline,65536,10000,16,655360000,655360000,6409358,329896190,32989,1253,0
zc_loop_pipeline,65536,25000,16,1638400000,1638400000,15549542,454344501,18173,3128,0
zc_loop_pipeline,65536,50000,16,3276800000,3276800000,35864806,3037910203,60758,6252,0
