server_program,client_program,buffer_size,nb_sends,pool_size,total_sent,total_received,total_elapsed_time_us,total_msg_time_us,avg_msg_time_us,total_notif,fallback_count
server_zc_loop,zc_loop,65536,500,16,32768000,32768000,736117,736117,1472,500,0
server_zc_loop,zc_loop,65536,1000,16,65536000,65536000,1473590,1473590,1473,1000,0
server_zc_loop,zc_loop,65536,2500,16,163840000,163840000,3676185,3676185,1470,2500,0
server_zc_loop,zc_loop,65536,5000,16,327680000,327680000,7351369,7351369,1470,5000,0
server_zc_loop,zc_loop,65536,10000,16,655360000,655360000,15420768,15420768,1542,10000,0
server_zc_loop,zc_loop,65536,25000,16,1638400000,1638400000,36647499,36647499,1465,25000,0
server_zc_loop,zc_loop,65536,50000,16,3276800000,3276800000,73467827,73467827,1469,50000,0
server_zc_loop,zc_loop_pipeline,65536,500,16,32768000,32768000,299063,3917209,7834,65,0
server_zc_loop,zc_loop_pipeline,65536,1000,16,65536000,65536000,589581,7819210,7819,128,0
server_zc_loop,zc_loop_pipeline,65536,2500,16,163840000,163840000,1465249,19702382,7880,315,0
server_zc_loop,zc_loop_pipeline,65536,5000,16,327680000,327680000,2960411,64057029,12811,628,0
server_zc_loop,zc_loop_pipeline,65536,10000,16,655360000,655360000,5876472,79433377,7943,1254,0
server_zc_loop,zc_loop_pipeline,65536,25000,16,1638400000,1638400000,14654472,198288619,7931,3128,0
server_zc_loop,zc_loop_pipeline,65536,50000,16,3276800000,3276800000,29330485,397054735,7941,6253,0
server_zc_loop_pipeline,zc_loop,65536,500,16,32768000,32768000,766941,766941,1533,500,0
server_zc_loop_pipeline,zc_loop,65536,1000,16,65536000,65536000,1476378,1476378,1476,1000,0
server_zc_loop_pipeline,zc_loop,65536,2500,16,163840000,163840000,3691241,3691241,1476,2500,0
server_zc_loop_pipeline,zc_loop,65536,5000,16,327680000,327680000,7379740,7379740,1475,5000,0
server_zc_loop_pipeline,zc_loop,65536,10000,16,655360000,655360000,14757677,14757677,1475,10000,0
server_zc_loop_pipeline,zc_loop,65536,25000,16,1638400000,1638400000,36829292,36829292,1473,25000,0
server_zc_loop_pipeline,zc_loop,65536,50000,16,3276800000,3276800000,73432344,73432344,1468,50000,0
server_zc_loop_pipeline,zc_loop_pipeline,65536,500,16,32768000,32768000,407182,28716006,57432,65,0
server_zc_loop_pipeline,zc_loop_pipeline,65536,1000,16,65536000,65536000,605690,9709705,9709,128,0
server_zc_loop_pipeline,zc_loop_pipeline,65536,2500,16,163840000,163840000,1480946,29105472,11642,315,0
server_zc_loop_pipeline,zc_loop_pipeline,65536,5000,16,327680000,327680000,3399023,223308884,44661,628,0
server_zc_loop_pipeline,zc_loop_pipeline,65536,10000,16,655360000,655360000,6316735,302401361,30240,1252,0
server_zc_loop_pipeline,zc_loop_pipeline,65536,25000,16,1638400000,1638400000,14673955,226548255,9061,3128,0
server_zc_loop_pipeline,zc_loop_pipeline,65536,50000,16,3276800000,3276800000,29298283,396629373,7932,6253,0
