server_program,client_program,buffer_size,nb_sends,pool_size,total_sent,total_received,total_elapsed_time_us,total_msg_time_us,avg_msg_time_us,total_notif,fallback_count
server_zc_loop,zc_loop,4096,500,16,2048000,2048000,217846,217846,435,500,0
server_zc_loop,zc_loop,16384,500,16,8192000,8192000,304104,304104,608,500,0
server_zc_loop,zc_loop,65536,500,16,32768000,32768000,732964,732964,1465,500,0
server_zc_loop,zc_loop,262144,500,16,131072000,131072000,2484477,2484477,4968,500,0
server_zc_loop,zc_loop,1048576,500,16,524288000,524288000,9409947,9409947,18819,500,0
server_zc_loop,zc_loop,4194304,500,16,2097152000,2097152000,37142981,37142981,74285,500,0
server_zc_loop,zc_loop,8388608,500,16,4194304000,4194304000,74638856,74638856,149277,505,0
server_zc_loop,zc_loop,16777216,500,16,8388608000,8388608000,160784885,160784885,321569,1502,0
server_zc_loop,zc_loop,33554432,500,16,16777216000,16777216000,304135862,304135862,608271,3502,0
server_zc_loop,zc_loop_pipeline,4096,500,16,2048000,2048000,33235,563284,1126,63,0
server_zc_loop,zc_loop_pipeline,16384,500,16,8192000,8192000,141998,3662496,7324,59,0
server_zc_loop,zc_loop_pipeline,65536,500,16,32768000,32768000,295445,3837641,7675,66,0
server_zc_loop,zc_loop_pipeline,262144,500,16,131072000,131072000,1186855,10152984,20305,347,0
server_zc_loop,zc_loop_pipeline,1048576,500,16,524288000,524288000,4696224,18605635,37211,1129,0
server_zc_loop,zc_loop_pipeline,4194304,500,16,2097152000,2097152000,18709590,46827130,93654,2026,0
server_zc_loop,zc_loop_pipeline,8388608,500,16,4194304000,4194304000,39306864,85105927,170211,2410,0
server_zc_loop,zc_loop_pipeline,16777216,500,16,8388608000,8388608000,118488628,201213710,402427,3638,0
server_zc_loop,zc_loop_pipeline,33554432,500,16,16777216000,16777216000,281966805,458428944,916857,6239,0
server_zc_loop_pipeline,zc_loop,4096,500,16,2048000,2048000,209817,209817,419,500,0
server_zc_loop_pipeline,zc_loop,16384,500,16,8192000,8192000,313761,313761,627,500,0
server_zc_loop_pipeline,zc_loop,65536,500,16,32768000,32768000,738729,738729,1477,500,0
server_zc_loop_pipeline,zc_loop,262144,500,16,131072000,131072000,2485095,2485095,4970,500,0
server_zc_loop_pipeline,zc_loop,1048576,500,16,524288000,524288000,9404415,9404415,18808,500,0
server_zc_loop_pipeline,zc_loop,4194304,500,16,2097152000,2097152000,37165356,37165356,74330,500,0
server_zc_loop_pipeline,zc_loop,8388608,500,16,4194304000,4194304000,74638904,74638904,149277,503,0
server_zc_loop_pipeline,zc_loop,16777216,500,16,8388608000,8388608000,164264023,164264023,328528,1500,0
server_zc_loop_pipeline,zc_loop,33554432,500,16,16777216000,16777216000,300139018,300139018,600278,3503,0
server_zc_loop_pipeline,zc_loop_pipeline,4096,500,16,2048000,2048000,30114,426710,853,63,0
server_zc_loop_pipeline,zc_loop_pipeline,16384,500,16,8192000,8192000,86861,934520,1869,59,0
server_zc_loop_pipeline,zc_loop_pipeline,65536,500,16,32768000,32768000,296804,3887048,7774,66,0
server_zc_loop_pipeline,zc_loop_pipeline,262144,500,16,131072000,131072000,1187863,9236918,18473,359,0
server_zc_loop_pipeline,zc_loop_pipeline,1048576,500,16,524288000,524288000,4698962,17988926,35977,1096,0
server_zc_loop_pipeline,zc_loop_pipeline,4194304,500,16,2097152000,2097152000,18694203,47068068,94136,2028,0
server_zc_loop_pipeline,zc_loop_pipeline,8388608,500,16,4194304000,4194304000,39233036,84905123,169810,2606,0
server_zc_loop_pipeline,zc_loop_pipeline,16777216,500,16,8388608000,8388608000,78797533,161547844,323095,3815,0
server_zc_loop_pipeline,zc_loop_pipeline,33554432,500,16,16777216000,16777216000,159494106,314856249,629712,6854,0
server_copy_loop,copy_loop,4096,500,0,2048000,2048000,217910,217910,435,0,0
server_copy_loop,copy_loop,16384,500,0,8192000,8192000,304943,304943,609,0,0
server_copy_loop,copy_loop,65536,500,0,32768000,32768000,739947,739947,1479,0,0
server_copy_loop,copy_loop,262144,500,0,131072000,131072000,2489072,2489072,4978,0,0
server_copy_loop,copy_loop,1048576,500,0,524288000,524288000,9424432,9424432,18848,0,0
server_copy_loop,copy_loop,4194304,500,0,2097152000,2097152000,37158109,37158109,74316,0,0
server_copy_loop,copy_loop,8388608,500,0,4194304000,4194304000,74135726,74135726,148271,0,0
server_copy_loop,copy_loop,16777216,500,0,8388608000,8388608000,161878679,161878679,323757,0,0
server_copy_loop,copy_loop,33554432,500,0,16777216000,16777216000,297257062,297257062,594514,0,0
server_copy_loop,copy_loop_pipeline,4096,500,0,2048000,2048000,20773,2760233,5520,0,0
server_copy_loop,copy_loop_pipeline,16384,500,0,8192000,8192000,75389,4923610,9847,0,0
server_copy_loop,copy_loop_pipeline,65536,500,0,32768000,32768000,295483,7725011,15450,0,0
server_copy_loop,copy_loop_pipeline,262144,500,0,131072000,131072000,1187620,12766118,25532,0,0
server_copy_loop,copy_loop_pipeline,1048576,500,0,524288000,524288000,4713545,21626852,43253,0,0
server_copy_loop,copy_loop_pipeline,4194304,500,0,2097152000,2097152000,19394790,61765198,123530,0,0
server_copy_loop,copy_loop_pipeline,8388608,500,0,4194304000,4194304000,37704509,86908744,173817,0,0
server_copy_loop,copy_loop_pipeline,16777216,500,0,8388608000,8388608000,116566494,208395333,416790,0,0
server_copy_loop,copy_loop_pipeline,33554432,500,0,16777216000,16777216000,281150588,465832730,931665,0,0
