program,buffer_size,nb_sends,total_sent,total_received,total_elapsed_time_us,total_msg_time_us,avg_msg_time_us
copy_loop,4096,500,2048000,2048000,164527,164527,329
copy_loop,16384,500,8192000,8192000,299019,299019,598
copy_loop,65536,500,32768000,32768000,741039,741039,1482
copy_loop,262144,500,131072000,131072000,2480195,2480195,4960
copy_loop,1048576,500,524288000,524288000,9463844,9463844,18927
copy_loop,4194304,500,2097152000,2097152000,37212923,37212923,74425
copy_loop,8388608,500,4194304000,4194304000,74457694,74457694,148915
copy_loop,16777216,500,8388608000,8388608000,155709126,155709126,311418
copy_loop,33554432,500,16777216000,16777216000,296248560,296248560,592497
copy_loop_pipeline,4096,500,2048000,2048000,19307,2338007,4676
copy_loop_pipeline,16384,500,8192000,8192000,75522,4400912,8801
copy_loop_pipeline,65536,500,32768000,32768000,298101,7569082,15138
copy_loop_pipeline,262144,500,131072000,131072000,1182181,12945347,25890
copy_loop_pipeline,1048576,500,524288000,524288000,4714431,20651381,41302
copy_loop_pipeline,4194304,500,2097152000,2097152000,19986253,60602249,121204
copy_loop_pipeline,8388608,500,4194304000,4194304000,40995653,95350515,190701
copy_loop_pipeline,16777216,500,8388608000,8388608000,116047774,207556434,415112
copy_loop_pipeline,33554432,500,16777216000,16777216000,281168345,465857864,931715
