server_program,client_program,buffer_size,nb_sends,total_sent,total_received,total_elapsed_time_us,total_msg_time_us,avg_msg_time_us
server_copy_loop,copy_loop,4096,500,2048000,2048000,234503,234503,469
server_copy_loop,copy_loop,16384,500,8192000,8192000,313427,313427,626
server_copy_loop,copy_loop,65536,500,32768000,32768000,738577,738577,1477
server_copy_loop,copy_loop,262144,500,131072000,131072000,2488243,2488243,4976
server_copy_loop,copy_loop,1048576,500,524288000,524288000,9414686,9414686,18829
server_copy_loop,copy_loop,4194304,500,2097152000,2097152000,37170304,37170304,74340
server_copy_loop,copy_loop,8388608,500,4194304000,4194304000,74132291,74132291,148264
server_copy_loop,copy_loop,16777216,500,8388608000,8388608000,158338672,158338672,316677
server_copy_loop,copy_loop,33554432,500,16777216000,16777216000,296766745,296766745,593533
server_copy_loop,copy_loop_pipeline,4096,500,2048000,2048000,20591,2206497,4412
server_copy_loop,copy_loop_pipeline,16384,500,8192000,8192000,75043,4459230,8918
server_copy_loop,copy_loop_pipeline,65536,500,32768000,32768000,296316,7819446,15638
server_copy_loop,copy_loop_pipeline,262144,500,131072000,131072000,1188571,12881262,25762
server_copy_loop,copy_loop_pipeline,1048576,500,524288000,524288000,4703444,22379053,44758
server_copy_loop,copy_loop_pipeline,4194304,500,2097152000,2097152000,18793635,48118377,96236
server_copy_loop,copy_loop_pipeline,8388608,500,4194304000,4194304000,38114664,87965670,175931
server_copy_loop,copy_loop_pipeline,16777216,500,8388608000,8388608000,114705248,200780729,401561
server_copy_loop,copy_loop_pipeline,33554432,500,16777216000,16777216000,283386004,464304851,928609
server_copy_loop_pipeline,copy_loop,4096,500,2048000,2048000,233452,233452,466
server_copy_loop_pipeline,copy_loop,16384,500,8192000,8192000,313042,313042,626
server_copy_loop_pipeline,copy_loop,65536,500,32768000,32768000,741465,741465,1482
server_copy_loop_pipeline,copy_loop,262144,500,131072000,131072000,2489490,2489490,4978
server_copy_loop_pipeline,copy_loop,1048576,500,524288000,524288000,9427359,9427359,18854
server_copy_loop_pipeline,copy_loop,4194304,500,2097152000,2097152000,37139846,37139846,74279
server_copy_loop_pipeline,copy_loop,8388608,500,4194304000,4194304000,74122694,74122694,148245
server_copy_loop_pipeline,copy_loop,16777216,500,8388608000,8388608000,159983155,159983155,319966
server_copy_loop_pipeline,copy_loop,33554432,500,16777216000,16777216000,296390813,296390813,592781
server_copy_loop_pipeline,copy_loop_pipeline,4096,500,2048000,2048000,19697,3013710,6027
server_copy_loop_pipeline,copy_loop_pipeline,16384,500,8192000,8192000,74814,4878707,9757
server_copy_loop_pipeline,copy_loop_pipeline,65536,500,32768000,32768000,295421,7728147,15456
server_copy_loop_pipeline,copy_loop_pipeline,262144,500,131072000,131072000,1185274,11129974,22259
server_copy_loop_pipeline,copy_loop_pipeline,1048576,500,524288000,524288000,4700211,20339886,40679
server_copy_loop_pipeline,copy_loop_pipeline,4194304,500,2097152000,2097152000,18735337,49284700,98569
server_copy_loop_pipeline,copy_loop_pipeline,8388608,500,4194304000,4194304000,37461663,86900252,173800
server_copy_loop_pipeline,copy_loop_pipeline,16777216,500,8388608000,8388608000,74976158,160394000,320788
server_copy_loop_pipeline,copy_loop_pipeline,33554432,500,16777216000,16777216000,149877224,308001126,616002
