program,buffer_size,nb_sends,total_sent,total_elapsed_time_us,avg_send_us,min_send_us,max_send_us,total_notif,fallback_count
copy_simple,4096,500,2048000,10851,21,0,2700,0,0
zc_simple,4096,500,2048000,633340,1266,524,4826,32,0
copy_simple,16384,500,8192000,64453,128,1,5528,0,0
zc_simple,16384,500,8192000,2518377,5036,444,12145,31,0
copy_simple,65536,500,32768000,285275,570,5,6056,0,0
zc_simple,65536,500,32768000,6111789,12223,3975,16252,63,0
copy_simple,262144,500,131072000,1179376,2358,22,6050,0,0
zc_simple,262144,500,131072000,9319105,18638,8000,19845,250,0
copy_simple,1048576,500,524288000,4758976,9517,5225,11412,0,0
zc_simple,1048576,500,524288000,14250238,28500,14603,29551,497,0
