program,buffer_size,nb_sends,pool_size,total_sent,total_received,total_elapsed_time_us,total_msg_time_us,avg_msg_time_us,total_notif,fallback_count
zc_loop,4096,500,16,2048000,2048000,214494,214494,428,500,0
zc_loop,16384,500,16,8192000,8192000,316793,316793,633,500,0
zc_loop,65536,500,16,32768000,32768000,741624,741624,1483,500,0
zc_loop,262144,500,16,131072000,131072000,2533887,2533887,5067,500,0
zc_loop,1048576,500,16,524288000,524288000,9542117,9542117,19084,500,0
zc_loop,4194304,500,16,2097152000,2097152000,37725860,37725860,75451,500,0
zc_loop,8388608,500,16,4194304000,4194304000,75676331,75676331,151352,500,0
zc_loop,16777216,500,16,8388608000,8388608000,152412125,152412125,304824,1501,0
zc_loop,33554432,500,16,16777216000,16777216000,303537017,303537017,607074,3504,0
zc_loop_pipeline,4096,500,16,2048000,2048000,29860,388155,776,61,0
zc_loop_pipeline,16384,500,16,8192000,8192000,87217,932967,1865,59,0
zc_loop_pipeline,65536,500,16,32768000,32768000,297436,3810186,7620,66,0
zc_loop_pipeline,262144,500,16,131072000,131072000,1203800,12696286,25392,351,0
zc_loop_pipeline,1048576,500,16,524288000,524288000,4766248,20766584,41533,1008,0
zc_loop_pipeline,4194304,500,16,2097152000,2097152000,19641055,60193459,120386,1549,0
zc_loop_pipeline,8388608,500,16,4194304000,4194304000,41476294,92057501,184115,2068,0
zc_loop_pipeline,16777216,500,16,8388608000,8388608000,119036017,204717334,409434,3765,0
zc_loop_pipeline,33554432,500,16,16777216000,16777216000,288670092,472167861,944335,6235,0
